pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
520563104,0,1996,18-26,NA,NA,0,5200,NA
520576103,1,1990,24-32,2700,4000,3400,4800,4500
510668101,1,1968,46-54,3000,3500,NA,NA,NA
510231103,0,1987,27-35,2900,NA,3100,2800,4800
510199101,1,1962,52-60,3800,NA,2600,2000,3400
520564103,0,1997,17-25,NA,NA,6000,8500,8500
510611103,1,1989,25-33,3000,NA,5000,7000,7000
510234101,1,1991,23-31,3000,3500,5000,8000,NA
510363107,1,1982,32-40,3700,NA,5000,6500,5500
510877103,1,1983,31-39,3000,NA,3500,4300,15000
510091103,1,1998,16-24,NA,0,0,2300,8000
510295102,1,1968,46-54,4500,5000,4500,3000,6000
510337105,0,1996,18-26,1800,NA,4000,4500,2000
510337104,0,1971,43-51,3500,NA,NA,3000,NA
510347101,1,1962,52-60,5000,NA,6500,NA,NA
510329102,1,1968,46-54,3000,NA,5000,5000,5000
510299103,1,1981,33-41,5000,7000,7000,7000,6000
520322105,1,1996,18-26,NA,800,NA,3200,5970
520322104,0,1974,40-48,NA,NA,NA,3000,4500
520436103,1,1980,34-42,NA,1600,1700,2400,5000
520322103,1,1980,34-42,3000,0,3500,NA,6000
520090103,0,1980,34-42,NA,3000,1000,NA,3000
520034107,0,1993,21-29,NA,NA,3500,10000,11000
520197103,1,1989,25-33,4500,NA,NA,NA,4000
520067101,1,1970,44-52,NA,NA,4000,4000,NA
520090102,1,1979,35-43,NA,4000,4000,4000,5000
520145103,0,1997,17-25,NA,2300,NA,3800,NA
520162102,1,1984,30-38,NA,NA,NA,4000,9500
520156431,0,1993,21-29,NA,2000,NA,2800,3500
520198102,1,1977,37-45,NA,NA,4500,4500,3500
520169104,1,1984,30-38,3000,NA,NA,4500,NA
520525101,1,1978,36-44,3000,NA,NA,NA,5000
520525104,0,1977,37-45,2000,NA,NA,NA,4500
520511102,0,1986,28-36,NA,NA,5200,NA,4500
520518104,0,1980,34-42,2000,NA,3000,NA,NA
530061104,1,1993,21-29,2600,NA,4000,NA,5000
530060102,0,1971,43-51,NA,NA,2400,1500,2000
530041104,1,1993,21-29,2300,NA,2500,2700,2500
530145103,1,1998,16-24,2100,2400,NA,NA,6500
530121104,1,1993,21-29,NA,2500,3000,3500,3500
530380101,1,1984,30-38,2850,NA,5920,6250,7600
530301103,1,1986,28-36,NA,NA,3000,6000,7000
530348104,0,1998,16-24,3000,NA,3000,5400,NA
530174102,1,1978,36-44,3600,4500,5000,5500,NA
530209102,1,1982,32-40,NA,NA,3500,4500,5000
530201101,1,1970,44-52,3300,NA,NA,NA,4600
530228103,1,1976,38-46,NA,NA,5000,4000,NA
610250103,1,1993,21-29,NA,1000,3500,3200,5000
610063103,1,1963,51-59,NA,2500,3500,3000,4500
610054104,0,1968,46-54,NA,4000,3000,NA,NA
610050103,0,1974,40-48,NA,1600,1350,2000,3300
610054105,1,1989,25-33,5200,2400,3000,3100,4500
610083101,1,1985,29-37,3000,NA,3000,5500,NA
610083102,0,1988,26-34,1800,NA,1900,NA,NA
610064102,1,1963,51-59,4000,NA,NA,5000,NA
610057105,1,1987,27-35,1600,NA,1400,5500,NA
610238102,1,1964,50-58,NA,NA,6000,NA,5400
610217103,0,1992,22-30,2700,NA,5000,5000,5000
610220101,1,1973,41-49,5000,NA,4500,NA,7000
620066104,1,1992,22-30,NA,NA,3500,4500,6600
621818103,0,1993,21-29,NA,NA,0,2000,NA
621252103,1,1986,28-36,2000,NA,NA,6500,8000
621241102,1,1984,30-38,12000,NA,5000,NA,0
620521102,1,1964,50-58,4000,NA,5000,6000,2000
621084105,0,1992,22-30,NA,3200,3000,1150,2200
621084104,1,1990,24-32,NA,2700,4000,4000,6300
621081104,1,1986,28-36,NA,NA,2700,4400,7500
621073103,1,1976,38-46,NA,NA,NA,3500,5600
