pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
411492102,0,1966,48-56,NA,NA,NA,NA,NA
411492103,0,1998,16-24,NA,NA,NA,NA,NA
411522103,0,1998,16-24,NA,NA,NA,NA,4500
621502104,0,1986,28-36,NA,NA,NA,NA,NA
130686103,1,1991,23-31,NA,NA,NA,NA,NA
410518105,1,1990,24-32,NA,NA,NA,NA,NA
230222101,0,1960,54-62,NA,NA,NA,NA,NA
211044103,1,1974,40-48,NA,2000,NA,2000,3000
330046501,0,1986,28-36,NA,3000,5000,6500,5000
410833101,1,1972,42-50,6000,NA,2000,3500,7000
210741101,0,1974,40-48,NA,NA,NA,NA,NA
140162106,1,1977,37-45,3000,NA,NA,NA,NA
621050105,0,1944,70-78,NA,NA,NA,NA,NA
450257101,1,1954,60-68,NA,NA,NA,NA,NA
211019103,1,1991,23-31,1500,NA,3600,5000,5000
330269102,1,1979,35-43,NA,NA,NA,4000,NA
140104101,1,1952,62-70,NA,NA,NA,NA,NA
411395101,1,1955,59-67,NA,NA,NA,NA,NA
510172102,0,1967,47-55,1200,NA,NA,NA,NA
210163101,1,1952,62-70,NA,NA,NA,NA,NA
140593101,1,1955,59-67,NA,NA,NA,NA,NA
620274102,0,1952,62-70,NA,NA,NA,NA,NA
440381101,1,1953,61-69,NA,NA,NA,NA,NA
211775101,1,1958,56-64,NA,NA,NA,NA,NA
430057101,0,1957,57-65,NA,2200,2200,NA,NA
211298101,1,1978,36-44,2000,NA,5000,5000,5000
110083104,0,1979,35-43,NA,NA,NA,NA,NA
130601102,0,1969,45-53,NA,NA,2000,417,3000
620758101,1,1976,38-46,NA,NA,NA,NA,NA
411548101,0,1944,70-78,NA,NA,NA,NA,NA
211458101,0,1977,37-45,NA,NA,NA,NA,NA
370544101,0,1966,48-56,NA,NA,NA,NA,NA
441974102,1,1953,61-69,NA,NA,NA,NA,NA
370146102,0,1960,54-62,NA,NA,NA,NA,NA
210181104,0,1973,41-49,NA,NA,NA,NA,NA
410371103,0,1977,37-45,NA,NA,NA,3000,NA
410042102,0,1973,41-49,1000,NA,1000,2000,2000
441699101,1,1983,31-39,2900,NA,3000,3400,4000
410416101,0,1968,46-54,NA,NA,NA,2400,2400
110083101,1,1949,65-73,NA,NA,NA,NA,NA
140122102,0,1959,55-63,NA,NA,NA,NA,NA
140365105,1,1983,31-39,10000,NA,13000,15000,16000
110047101,1,1956,58-66,NA,NA,NA,NA,NA
130078102,1,1965,49-57,NA,NA,NA,NA,NA
211491102,0,1960,54-62,NA,NA,NA,NA,NA
140533104,0,1989,25-33,NA,NA,NA,NA,NA
420368501,0,1988,26-34,1400,NA,2600,3000,2900
320333102,1,1976,38-46,NA,NA,NA,NA,NA
211281103,0,1949,65-73,1800,NA,NA,1200,2100
370075101,0,1967,47-55,NA,NA,NA,3500,3300
621813104,1,1998,16-24,NA,NA,NA,NA,NA
360058102,0,1971,43-51,NA,NA,NA,NA,NA
230133102,1,1969,45-53,1200,NA,2600,2800,NA
320391103,0,1967,47-55,2500,NA,3000,2000,NA
410264104,0,1984,30-38,NA,NA,NA,NA,NA
211831101,1,1956,58-66,2000,NA,NA,NA,NA
510356101,1,1970,44-52,NA,NA,NA,NA,NA
311247101,1,1948,66-74,1600,NA,NA,NA,NA
320109102,0,1964,50-58,3000,NA,NA,NA,NA
210932101,0,1976,38-46,NA,2500,2000,3000,3000
130894102,1,1948,66-74,NA,NA,NA,NA,NA
312129102,1,1958,56-64,1800,NA,NA,2000,NA
420333501,0,1990,24-32,2800,NA,4200,5000,6000
320373104,0,1987,27-35,2500,NA,3800,4000,3300
140356101,0,1957,57-65,NA,NA,NA,NA,NA
620003105,0,1987,27-35,NA,NA,NA,NA,2000
210630103,0,1984,30-38,3000,NA,4500,4200,5000
620645104,0,1979,35-43,NA,NA,NA,NA,NA
210913101,0,1934,80-88,NA,NA,NA,NA,NA
230134101,1,1957,57-65,NA,NA,NA,NA,NA
220162102,0,1965,49-57,NA,NA,NA,NA,4000
220358101,0,1963,51-59,NA,NA,NA,NA,NA
620004103,1,1985,29-37,2000,2800,2700,2750,5000
410915103,1,1995,19-27,NA,NA,3000,3000,3000
430109101,1,1953,61-69,NA,NA,NA,NA,NA
211375104,0,1979,35-43,NA,NA,NA,NA,NA
620838103,0,1979,35-43,NA,NA,NA,NA,NA
450102101,1,1974,40-48,NA,NA,NA,NA,NA
621769102,0,1966,48-56,NA,NA,NA,NA,NA
530067101,0,1969,45-53,NA,NA,NA,NA,NA
140153101,1,1957,57-65,NA,NA,NA,NA,NA
230477101,0,1971,43-51,NA,NA,NA,NA,4000
360273102,0,1967,47-55,1200,NA,NA,NA,NA
312110101,1,1947,67-75,NA,NA,NA,NA,NA
230465103,1,1985,29-37,2000,6000,6000,6000,8000
370058101,1,1963,51-59,NA,NA,3000,5000,3000
410317102,0,1959,55-63,NA,NA,NA,NA,NA
312136102,1,1935,79-87,NA,NA,NA,NA,NA
110074102,0,1950,64-72,NA,NA,NA,NA,NA
370108102,0,1954,60-68,NA,NA,NA,NA,NA
110084101,0,1958,56-64,NA,NA,NA,NA,NA
140768102,0,1959,55-63,900,NA,1700,2400,2490
230465101,0,1963,51-59,NA,NA,NA,NA,NA
230455104,1,1954,60-68,NA,NA,NA,NA,NA
440367102,0,1952,62-70,NA,NA,NA,NA,400
230623101,0,1966,48-56,1300,NA,1500,NA,NA
230628102,0,1956,58-66,NA,NA,NA,NA,NA
410864102,1,1970,44-52,2000,NA,NA,NA,NA
621039102,0,1978,36-44,NA,2200,2700,3200,3630
210753101,0,1972,42-50,1300,NA,NA,NA,NA
140834103,1,1981,33-41,NA,NA,NA,NA,2000
350098102,0,1953,61-69,NA,NA,NA,NA,NA
410842104,1,1978,36-44,NA,NA,3000,3500,NA
340263104,0,1988,26-34,1760,2250,2500,2800,3444
621785102,0,1966,48-56,NA,1200,1600,1500,1800
441930103,0,1944,70-78,NA,NA,NA,NA,NA
440391104,0,1985,29-37,NA,NA,2000,3000,3000
370067102,1,1952,62-70,NA,NA,NA,NA,NA
441928102,0,1970,44-52,NA,NA,NA,NA,NA
230632101,0,1967,47-55,1091,NA,1100,NA,NA
410512101,1,1969,45-53,NA,NA,NA,NA,NA
320010102,1,1948,66-74,NA,NA,NA,2000,NA
621671103,1,1965,49-57,4500,NA,3000,4500,4180
211513104,0,1995,19-27,NA,NA,NA,NA,2000
130630102,1,1968,46-54,NA,NA,NA,8000,NA
530090103,1,1989,25-33,2400,2000,3600,2000,2900
130889101,0,1966,48-56,NA,NA,NA,NA,NA
520002101,1,1984,30-38,4000,NA,NA,NA,11000
140768101,1,1958,56-64,900,1000,1420,1500,1500
411511103,1,1984,30-38,NA,3000,3000,5500,5500
420347104,0,1984,30-38,NA,NA,NA,NA,NA
621291104,1,1994,20-28,NA,NA,3000,3500,5000
410124105,0,1983,31-39,NA,4000,4500,6000,2000
230514102,0,1934,80-88,NA,NA,NA,NA,NA
370537101,1,1950,64-72,NA,NA,NA,NA,NA
311027103,0,1986,28-36,3000,2800,4500,NA,NA
370481102,1,1971,43-51,NA,NA,NA,3000,4000
211461103,0,1996,18-26,NA,NA,1000,3400,3400
370681103,0,1998,16-24,NA,NA,NA,900,1900
411835102,1,1965,49-57,NA,NA,6000,5500,4300
420356101,1,1955,59-67,1300,NA,2200,NA,NA
411055431,0,1990,24-32,NA,NA,NA,NA,NA
410317105,0,1982,32-40,2000,NA,NA,NA,NA
510034102,0,1952,62-70,NA,1000,NA,NA,NA
621700102,0,1963,51-59,3000,NA,NA,5500,6000
140146101,0,1965,49-57,NA,NA,NA,NA,NA
370759101,0,1952,62-70,NA,NA,NA,NA,NA
360239104,1,1991,23-31,NA,5000,6000,6500,NA
621859102,1,1953,61-69,NA,NA,NA,NA,NA
621010101,1,1968,46-54,NA,NA,NA,NA,1300
230520102,0,1948,66-74,NA,NA,NA,NA,NA
211095101,0,1951,63-71,NA,NA,NA,NA,NA
350010103,0,1953,61-69,1000,NA,NA,NA,NA
420257101,0,1974,40-48,NA,NA,NA,NA,NA
130901104,0,1984,30-38,1700,NA,2200,2700,3500
520254102,0,1985,29-37,NA,NA,4000,NA,NA
230553102,1,1981,33-41,NA,NA,NA,5000,NA
330046104,1,1983,31-39,7000,NA,8000,10000,12000
420278103,1,1976,38-46,3000,NA,NA,4000,4000
360181102,0,1974,40-48,NA,NA,NA,NA,NA
311104101,1,1964,50-58,1820,NA,5000,4600,2590
440594101,1,1966,48-56,3000,NA,6000,5000,6500
410228102,0,1968,46-54,NA,NA,NA,NA,NA
441779102,1,1971,43-51,NA,NA,NA,NA,NA
360187102,1,1968,46-54,NA,2400,NA,3000,NA
220349102,0,1977,37-45,NA,1700,2000,2000,2000
130892102,1,1963,51-59,NA,NA,4000,4500,5000
220301101,0,1970,44-52,2942,NA,3800,1800,1800
441681102,0,1941,73-81,NA,NA,NA,NA,NA
410896431,0,1988,26-34,NA,NA,NA,NA,400
510622531,1,1975,39-47,2000,NA,2000,3000,NA
610089102,0,1974,40-48,NA,NA,NA,NA,NA
